               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027228,            0.099764,          0.00017278,             0.47657,             0.62256,             0.51227,             0.28331,            0.023221,             0.29398,          7.8124e-05,             0.00307,             0.00307,             0.00307
                  37,            0.027216,            0.098989,          0.00016434,             0.47155,             0.63726,             0.50991,             0.28402,            0.023079,             0.29239,          7.3465e-05,            0.002872,            0.002872,            0.002872
                  38,            0.026841,            0.098298,            0.000159,              0.4716,             0.61959,             0.51043,             0.28663,            0.022852,             0.29073,          7.0673e-05,            0.002674,            0.002674,            0.002674
                  39,            0.026193,            0.098325,          0.00014931,             0.47894,             0.60485,              0.5121,             0.28804,            0.022773,             0.28973,          6.9669e-05,            0.002476,            0.002476,            0.002476
                  40,            0.026538,            0.097904,          0.00014799,             0.48655,             0.61008,              0.5142,             0.28948,            0.022625,             0.28892,          6.3996e-05,            0.002278,            0.002278,            0.002278
                  41,            0.026337,            0.098054,          0.00015118,             0.47813,             0.58194,             0.51181,             0.28871,            0.022587,             0.28895,          6.3271e-05,             0.00208,             0.00208,             0.00208
                  42,            0.026134,            0.097414,          0.00014199,             0.48177,             0.61591,             0.51488,             0.29123,            0.022421,             0.28776,          6.1128e-05,            0.001882,            0.001882,            0.001882
                  43,            0.025954,            0.097058,          0.00013992,             0.49199,             0.60179,             0.51607,              0.2924,            0.022303,             0.28625,          6.0616e-05,            0.001684,            0.001684,            0.001684
                  44,            0.025706,            0.095942,          0.00014166,             0.49027,             0.62651,             0.51552,             0.29497,            0.022076,             0.28451,          6.0212e-05,            0.001486,            0.001486,            0.001486
                  45,            0.025733,            0.096616,          0.00017946,             0.49411,             0.61608,             0.51426,             0.29646,            0.022035,             0.28373,          5.9421e-05,            0.001288,            0.001288,            0.001288
                  46,            0.025577,            0.096329,          0.00013336,             0.49469,             0.60727,             0.51845,             0.29691,            0.021852,             0.28256,          5.8152e-05,             0.00109,             0.00109,             0.00109
                  47,            0.025279,               0.095,          0.00013729,             0.50299,             0.61638,              0.5186,             0.29823,            0.021843,             0.28243,          5.9168e-05,            0.000892,            0.000892,            0.000892
                  48,            0.025335,            0.095219,          0.00013757,             0.49113,             0.59841,             0.51792,             0.30026,            0.021695,             0.28142,          5.7779e-05,            0.000694,            0.000694,            0.000694
                  49,            0.024971,            0.094391,          0.00013696,              0.4944,             0.63118,             0.51947,             0.29959,            0.021698,             0.28124,          5.8139e-05,            0.000496,            0.000496,            0.000496
