               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074256,             0.12716,                   0,             0.53937,             0.64054,             0.58247,             0.18537,            0.046686,             0.36582,                   0,            0.070032,           0.0033298,           0.0033298
                   1,            0.053407,             0.12469,                   0,             0.55436,             0.74084,             0.67486,             0.22199,            0.044003,              0.3593,                   0,             0.04001,           0.0066411,           0.0066411
                   2,            0.051018,             0.12431,                   0,             0.52279,             0.77866,             0.54423,             0.18391,            0.041881,             0.36679,                   0,           0.0099661,           0.0099305,           0.0099305
                   3,            0.046846,             0.12234,                   0,             0.81049,             0.83472,             0.84078,             0.32529,             0.03403,             0.36056,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.043804,             0.11851,                   0,             0.86636,             0.86114,             0.87644,             0.36398,            0.033026,             0.35197,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.04125,             0.11879,                   0,             0.86899,             0.86515,             0.88551,             0.37861,            0.032426,             0.34823,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.039375,             0.11613,                   0,             0.87766,             0.87324,             0.89006,             0.39177,            0.031558,             0.34802,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.037651,             0.11588,                   0,              0.8819,             0.87858,             0.89753,             0.40497,            0.030521,             0.34342,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.03664,             0.11584,                   0,             0.88934,             0.88176,             0.89967,             0.40378,            0.030219,              0.3434,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.03602,             0.11356,                   0,             0.89801,             0.89273,             0.90978,             0.41563,            0.029345,             0.33944,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.035171,             0.11278,                   0,             0.90164,             0.89656,              0.9136,             0.42681,            0.028833,             0.33716,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.03518,             0.11353,                   0,             0.89932,             0.89403,             0.91174,             0.42762,            0.028873,             0.33654,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.03424,             0.11334,                   0,             0.90703,             0.90193,             0.91958,             0.43547,            0.028516,             0.33383,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.03422,             0.11116,                   0,             0.90947,             0.90297,             0.92115,             0.43799,            0.028393,              0.3324,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.033708,              0.1117,                   0,             0.91027,             0.90352,             0.92411,             0.44197,            0.028301,             0.33132,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.033858,             0.11187,                   0,             0.90875,             0.90307,              0.9226,             0.44063,            0.028074,             0.33057,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.033453,             0.11125,                   0,              0.9107,             0.90554,             0.92575,             0.45074,            0.027868,             0.32928,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.033246,             0.11022,                   0,             0.91498,             0.90905,             0.92826,             0.45216,            0.027778,             0.32783,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.03247,             0.11057,                   0,             0.91455,             0.90946,             0.93062,             0.46271,            0.027163,              0.3249,                   0,            0.009439,            0.009439,            0.009439
