               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07533,             0.13599,           0.0051576,             0.80006,             0.32619,             0.31777,             0.10794,            0.049379,              0.3807,           0.0016343,            0.070032,           0.0033298,           0.0033298
                   1,             0.05698,              0.1286,           0.0021242,             0.84979,             0.39636,             0.37253,              0.1254,            0.042348,             0.38641,           0.0017145,              0.0399,           0.0065312,           0.0065312
                   2,            0.052683,             0.12673,            0.002232,             0.88969,             0.41144,               0.422,             0.14771,            0.040349,             0.39835,           0.0016832,           0.0096362,           0.0096006,           0.0096006
                   3,             0.04808,             0.12414,           0.0020165,             0.94068,             0.43985,             0.62188,              0.2266,            0.033795,             0.39188,           0.0015302,            0.009406,            0.009406,            0.009406
                   4,            0.043695,             0.12035,           0.0017034,              0.6133,             0.66668,             0.60548,             0.23284,            0.032023,             0.38561,          0.00097674,            0.009406,            0.009406,            0.009406
                   5,            0.041177,             0.12149,           0.0011803,             0.72548,             0.68153,             0.63786,             0.24334,            0.031158,             0.38012,           0.0005764,            0.009208,            0.009208,            0.009208
                   6,            0.040338,             0.11863,           0.0010193,             0.71583,             0.73063,             0.66477,             0.26079,            0.030214,             0.37909,          0.00051853,             0.00901,             0.00901,             0.00901
                   7,            0.038707,             0.11791,          0.00082393,             0.81931,             0.76457,             0.74079,             0.27889,            0.030895,             0.38082,          0.00047554,            0.008812,            0.008812,            0.008812
                   8,            0.037042,             0.11775,          0.00072133,             0.77672,             0.72658,             0.67945,             0.26005,            0.030876,              0.3827,          0.00041991,            0.008614,            0.008614,            0.008614
                   9,             0.03637,              0.1152,          0.00068777,             0.81175,             0.75781,             0.72601,             0.27237,            0.030412,             0.38043,            0.000398,            0.008416,            0.008416,            0.008416
                  10,            0.035931,             0.11432,          0.00071335,             0.80711,             0.75223,              0.7177,             0.27858,            0.029816,             0.37897,          0.00036689,            0.008218,            0.008218,            0.008218
                  11,            0.034878,             0.11449,          0.00058342,               0.828,             0.77294,             0.73727,             0.28394,            0.029062,             0.37926,          0.00033763,             0.00802,             0.00802,             0.00802
                  12,             0.03421,             0.11417,          0.00051987,             0.79616,              0.7591,             0.72105,             0.27961,            0.029786,             0.38117,          0.00031466,            0.007822,            0.007822,            0.007822
                  13,             0.03356,             0.11152,          0.00050917,             0.79837,             0.74993,             0.70689,             0.26804,            0.030415,             0.38786,          0.00030985,            0.007624,            0.007624,            0.007624
                  14,            0.032452,             0.11209,          0.00048151,             0.78673,             0.74229,             0.67647,             0.26456,            0.029478,             0.38495,          0.00027365,            0.007426,            0.007426,            0.007426
                  15,            0.033002,              0.1122,          0.00043596,             0.79287,              0.7521,             0.70103,             0.27067,            0.029739,             0.38486,          0.00030499,            0.007228,            0.007228,            0.007228
                  16,             0.03202,             0.11087,          0.00042617,             0.81438,             0.76643,             0.72386,             0.28119,            0.029332,             0.38417,          0.00029695,             0.00703,             0.00703,             0.00703
                  17,            0.031636,             0.10899,          0.00037406,             0.79817,             0.76265,             0.70713,             0.27415,            0.029401,              0.3867,          0.00026378,            0.006832,            0.006832,            0.006832
                  18,            0.031064,             0.10978,          0.00035195,             0.78657,             0.75504,             0.68508,             0.26357,            0.029761,             0.38942,          0.00025486,            0.006634,            0.006634,            0.006634
                  19,            0.031331,             0.10814,          0.00033834,             0.78905,             0.75089,             0.69293,             0.26392,            0.029555,             0.38871,          0.00024895,            0.006436,            0.006436,            0.006436
                  20,            0.030596,             0.10609,          0.00038594,             0.81624,             0.76517,             0.72251,             0.27988,            0.029482,             0.39003,          0.00024841,            0.006238,            0.006238,            0.006238
