               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026614,            0.096792,          0.00031042,              0.7988,              0.7603,             0.71008,             0.26339,             0.03073,             0.43307,          0.00029376,            0.008845,            0.008845,            0.008845
                  37,            0.026171,             0.09628,           0.0003133,             0.79237,             0.76724,             0.70009,             0.25755,            0.031326,             0.43949,          0.00031186,            0.008812,            0.008812,            0.008812
                  38,            0.026182,             0.09566,          0.00027963,              0.8059,             0.77344,             0.72384,              0.2741,            0.030717,             0.43319,          0.00030279,            0.008779,            0.008779,            0.008779
                  39,             0.02583,            0.095792,          0.00026949,             0.78993,             0.75594,             0.70868,             0.26644,            0.030647,             0.43411,          0.00026577,            0.008746,            0.008746,            0.008746
                  40,            0.025467,            0.094842,          0.00026829,             0.79927,             0.76571,             0.72061,             0.27247,            0.030889,             0.44039,          0.00028351,            0.008713,            0.008713,            0.008713
                  41,            0.025291,            0.094549,          0.00030051,             0.79212,             0.75916,              0.7109,              0.2677,            0.030803,             0.43835,          0.00025896,             0.00868,             0.00868,             0.00868
                  42,            0.024775,            0.093927,          0.00025711,             0.78187,             0.74923,             0.69534,             0.25957,            0.030771,             0.43986,          0.00030047,            0.008647,            0.008647,            0.008647
                  43,             0.02506,            0.094258,           0.0002596,             0.79263,             0.76857,              0.7117,             0.26533,            0.031037,             0.44455,          0.00033471,            0.008614,            0.008614,            0.008614
                  44,            0.024673,            0.092739,          0.00026183,             0.77986,             0.75004,             0.69642,             0.25747,            0.030843,             0.44241,          0.00027859,            0.008581,            0.008581,            0.008581
                  45,            0.025009,            0.093463,          0.00028309,             0.79174,             0.76624,             0.71666,             0.26969,             0.03085,             0.44321,          0.00029646,            0.008548,            0.008548,            0.008548
                  46,            0.024625,            0.093709,          0.00025532,             0.80885,             0.76968,             0.71949,             0.26744,             0.03073,             0.44569,          0.00026123,            0.008515,            0.008515,            0.008515
                  47,            0.024684,            0.091708,          0.00026769,             0.79494,              0.7599,               0.706,              0.2636,            0.030926,             0.44271,          0.00027553,            0.008482,            0.008482,            0.008482
                  48,            0.024271,            0.092117,          0.00025647,             0.80595,              0.7706,             0.72106,             0.27073,            0.031124,             0.44421,          0.00036347,            0.008449,            0.008449,            0.008449
                  49,            0.024198,            0.091486,           0.0002496,              0.8044,             0.77217,             0.71431,             0.26462,            0.030561,             0.43976,          0.00024353,            0.008416,            0.008416,            0.008416
                  50,            0.024512,            0.091196,          0.00029204,                0.78,             0.75299,             0.69785,              0.2607,            0.030771,              0.4433,          0.00030437,            0.008383,            0.008383,            0.008383
                  51,            0.023506,            0.090433,          0.00025855,             0.79649,              0.7606,             0.71045,             0.26697,             0.03083,             0.44843,          0.00031763,             0.00835,             0.00835,             0.00835
                  52,            0.024014,            0.089955,          0.00025126,             0.81262,             0.77639,             0.72841,             0.27139,            0.031112,              0.4485,          0.00029897,            0.008317,            0.008317,            0.008317
                  53,            0.023693,            0.089999,          0.00023665,             0.80532,             0.77783,             0.73005,             0.27377,            0.030891,             0.45097,           0.0002956,            0.008284,            0.008284,            0.008284
                  54,            0.023594,            0.090043,          0.00024304,             0.79407,             0.76774,             0.70669,              0.2694,            0.030445,             0.44371,          0.00027915,            0.008251,            0.008251,            0.008251
                  55,            0.023444,            0.089892,          0.00024252,             0.80183,              0.7686,             0.72173,             0.27189,              0.0313,             0.44961,          0.00029961,            0.008218,            0.008218,            0.008218
                  56,            0.023531,            0.090048,          0.00023929,             0.80397,             0.77544,             0.71568,             0.26676,            0.031066,             0.45423,          0.00040722,            0.008185,            0.008185,            0.008185
                  57,            0.022924,            0.090074,          0.00023056,             0.79939,             0.77079,             0.70817,              0.2649,            0.031135,             0.45332,          0.00039712,            0.008152,            0.008152,            0.008152
                  58,            0.023043,            0.089049,          0.00025119,             0.81071,             0.77343,             0.72691,              0.2756,            0.030485,             0.44522,          0.00033236,            0.008119,            0.008119,            0.008119
                  59,            0.023095,            0.088387,          0.00023772,             0.80132,             0.76661,             0.71451,             0.26629,            0.030971,             0.45134,           0.0003672,            0.008086,            0.008086,            0.008086
                  60,             0.02296,            0.089185,          0.00022609,              0.7876,             0.76126,             0.70279,             0.26343,            0.031103,             0.45289,          0.00032601,            0.008053,            0.008053,            0.008053
                  61,            0.022952,             0.08873,          0.00023191,             0.79947,             0.77007,             0.71212,             0.26651,            0.031024,             0.45192,          0.00036324,             0.00802,             0.00802,             0.00802
                  62,             0.02298,            0.089214,          0.00022702,             0.79446,              0.7636,             0.70467,             0.26608,             0.03105,             0.44947,          0.00037688,            0.007987,            0.007987,            0.007987
                  63,            0.023206,            0.087424,           0.0002418,             0.79858,              0.7719,             0.72082,             0.26941,            0.031083,             0.45621,          0.00028928,            0.007954,            0.007954,            0.007954
                  64,            0.022668,            0.088121,          0.00021439,             0.80193,             0.75956,             0.71249,             0.26933,            0.031114,             0.45309,          0.00030954,            0.007921,            0.007921,            0.007921
                  65,            0.022695,            0.089083,          0.00026318,             0.80823,              0.7798,             0.73556,             0.27432,            0.031029,             0.45259,          0.00039843,            0.007888,            0.007888,            0.007888
                  66,            0.022541,            0.087476,          0.00023625,             0.81814,             0.77899,             0.73849,             0.28203,            0.030734,              0.4475,          0.00037152,            0.007855,            0.007855,            0.007855
                  67,            0.022548,            0.088368,          0.00022068,             0.81975,             0.78094,             0.73672,              0.2778,            0.030763,             0.45542,          0.00034451,            0.007822,            0.007822,            0.007822
                  68,             0.02252,            0.086526,          0.00021916,             0.82348,              0.7886,             0.75372,             0.27801,            0.030938,             0.45468,          0.00037976,            0.007789,            0.007789,            0.007789
                  69,            0.021932,            0.086521,           0.0002096,             0.81305,             0.77672,             0.73178,             0.27308,            0.030884,             0.45256,          0.00042361,            0.007756,            0.007756,            0.007756
                  70,            0.022722,            0.087241,           0.0002278,             0.82346,             0.78528,             0.74397,             0.27799,            0.030965,             0.45162,          0.00029876,            0.007723,            0.007723,            0.007723
                  71,            0.022304,            0.087906,          0.00022401,             0.81829,             0.76593,             0.72585,             0.27432,            0.030855,             0.45237,          0.00034358,             0.00769,             0.00769,             0.00769
                  72,            0.022375,            0.086171,          0.00022035,             0.81708,              0.7789,             0.73319,             0.27393,            0.031159,             0.45901,          0.00032721,            0.007657,            0.007657,            0.007657
                  73,            0.022063,            0.086822,          0.00022876,             0.82495,             0.78251,             0.74419,             0.28091,            0.030852,             0.45309,          0.00032506,            0.007624,            0.007624,            0.007624
                  74,             0.02191,            0.086708,          0.00024984,             0.82169,             0.77657,             0.74013,             0.28096,            0.030974,             0.45566,          0.00035363,            0.007591,            0.007591,            0.007591
                  75,            0.021929,            0.085909,          0.00021824,             0.82172,             0.78353,             0.74009,             0.27834,            0.030937,             0.45797,          0.00029828,            0.007558,            0.007558,            0.007558
                  76,            0.022029,             0.08603,             0.00022,             0.82582,             0.78499,             0.74194,             0.27849,            0.030562,             0.45312,          0.00028078,            0.007525,            0.007525,            0.007525
                  77,            0.022245,            0.085593,          0.00027688,             0.81478,             0.77717,             0.73248,              0.2706,              0.0312,             0.46504,          0.00029325,            0.007492,            0.007492,            0.007492
                  78,            0.021776,            0.085909,          0.00025968,             0.81757,             0.77653,             0.73498,             0.27646,            0.030968,             0.45904,          0.00039809,            0.007459,            0.007459,            0.007459
                  79,            0.021757,            0.086508,          0.00021882,              0.8237,             0.77382,             0.73339,             0.27304,            0.031269,             0.46307,          0.00037254,            0.007426,            0.007426,            0.007426
                  80,            0.021453,            0.085965,          0.00020818,             0.82163,             0.77726,             0.73681,             0.27287,            0.031211,              0.4632,          0.00033984,            0.007393,            0.007393,            0.007393
                  81,            0.022018,            0.085832,          0.00025669,             0.82034,              0.7751,             0.73259,             0.27129,            0.031102,             0.45826,          0.00029479,             0.00736,             0.00736,             0.00736
                  82,            0.021459,            0.085424,          0.00022163,             0.81265,             0.77122,             0.72819,             0.27276,            0.031039,             0.46236,          0.00027714,            0.007327,            0.007327,            0.007327
                  83,            0.021691,            0.085586,           0.0002225,             0.81389,             0.77388,             0.72432,             0.27148,            0.031036,             0.46245,          0.00032285,            0.007294,            0.007294,            0.007294
                  84,            0.021308,            0.084298,          0.00020547,             0.81972,              0.7776,             0.73903,             0.27366,            0.031089,             0.46612,          0.00035677,            0.007261,            0.007261,            0.007261
                  85,            0.020945,            0.085528,          0.00019462,             0.81078,             0.76861,             0.71936,             0.26933,            0.030945,              0.4654,          0.00037438,            0.007228,            0.007228,            0.007228
